"capability_id","domain_id","domain","layer","capability_order","capability","kind","primary_agent_id","release_wave","mvp_64","status"
"GNC-D01-C13","D01","Variant Identity & Intake","Data foundation","13","Consent and data-use policy attachment","Scientific inference","A07","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C14","D01","Variant Identity & Intake","Data foundation","14","Input anomaly quarantine","Scientific inference","A08","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C15","D01","Variant Identity & Intake","Data foundation","15","Data completeness scorer","Scientific inference","A14","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C16","D01","Variant Identity & Intake","Data foundation","16","Reproducible intake bundle exporter","Publication and release","A48","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C01","D02","Structural Variation, Copy Number & Haplotype","Variant representation","1","Breakend graph constructor","Evidence and lifecycle","A10","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C02","D02","Structural Variation, Copy Number & Haplotype","Variant representation","2","SV caller consensus importer","Data integration","A11","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C03","D02","Structural Variation, Copy Number & Haplotype","Variant representation","3","Complex rearrangement resolver","Identity and harmonization","A29","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C04","D02","Structural Variation, Copy Number & Haplotype","Variant representation","4","Copy-number segment harmonizer","Identity and harmonization","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C05","D02","Structural Variation, Copy Number & Haplotype","Variant representation","5","Focal amplification boundary mapper","Identity and harmonization","A10","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C06","D02","Structural Variation, Copy Number & Haplotype","Variant representation","6","Chromothripsis pattern detector","Scientific inference","A11","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C07","D02","Structural Variation, Copy Number & Haplotype","Variant representation","7","Extrachromosomal DNA candidate detector","Scientific inference","A29","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C08","D02","Structural Variation, Copy Number & Haplotype","Variant representation","8","Enhancer-hijacking candidate detector","Scientific inference","A36","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C09","D02","Structural Variation, Copy Number & Haplotype","Variant representation","9","Phased haplotype assembler","Scientific inference","A10","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C10","D02","Structural Variation, Copy Number & Haplotype","Variant representation","10","Allele-aware SV representation","Scientific inference","A11","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C11","D02","Structural Variation, Copy Number & Haplotype","Variant representation","11","Pangenome graph projection","Evidence and lifecycle","A29","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C12","D02","Structural Variation, Copy Number & Haplotype","Variant representation","12","Repeat and mobile-element annotation","Scientific inference","A36","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C13","D02","Structural Variation, Copy Number & Haplotype","Variant representation","13","Short tandem repeat interpreter","Scientific inference","A10","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C14","D02","Structural Variation, Copy Number & Haplotype","Variant representation","14","Compound noncoding haplotype evaluator","Scientific inference","A11","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C15","D02","Structural Variation, Copy Number & Haplotype","Variant representation","15","Breakpoint uncertainty propagator","Scientific inference","A29","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D02-C16","D02","Structural Variation, Copy Number & Haplotype","Variant representation","16","Structural-variant evidence exporter","Publication and release","A36","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C01","D03","Specimen, Origin & Lineage","Sample context","1","Patient-sample-specimen ontology mapper","Identity and harmonization","A12","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C02","D03","Specimen, Origin & Lineage","Sample context","2","Matched-normal resolver","Identity and harmonization","A13","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C03","D03","Specimen, Origin & Lineage","Sample context","3","Tumor purity and ploidy importer","Data integration","A14","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C04","D03","Specimen, Origin & Lineage","Sample context","4","Contamination and sample-swap detector","Scientific inference","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C05","D03","Specimen, Origin & Lineage","Sample context","5","Somatic-germline origin classifier","Scientific inference","A12","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C06","D03","Specimen, Origin & Lineage","Sample context","6","Mosaicism posterior estimator","Scientific inference","A13","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C07","D03","Specimen, Origin & Lineage","Sample context","7","Cancer-cell fraction estimator","Scientific inference","A14","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C08","D03","Specimen, Origin & Lineage","Sample context","8","Subclone assignment","Scientific inference","A36","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C09","D03","Specimen, Origin & Lineage","Sample context","9","Multi-region lineage resolver","Identity and harmonization","A12","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C10","D03","Specimen, Origin & Lineage","Sample context","10","Longitudinal specimen linker","Scientific inference","A13","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C11","D03","Specimen, Origin & Lineage","Sample context","11","Primary-recurrence phase mapper","Identity and harmonization","A14","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C12","D03","Specimen, Origin & Lineage","Sample context","12","Treatment-exposure contextualizer","Scientific inference","A36","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C13","D03","Specimen, Origin & Lineage","Sample context","13","Biospecimen preanalytic quality assessor","Scientific inference","A12","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C14","D03","Specimen, Origin & Lineage","Sample context","14","Assay lineage and protocol tracker","Scientific inference","A13","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C15","D03","Specimen, Origin & Lineage","Sample context","15","Identity-conflict adjudicator","Scientific inference","A14","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D03-C16","D03","Specimen, Origin & Lineage","Sample context","16","Specimen context envelope publisher","Publication and release","A36","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C01","D04","Reference & Annotation Governance","Reference governance","1","Reference assembly resolver","Identity and harmonization","A09","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C02","D04","Reference & Annotation Governance","Reference governance","2","Liftover chain manager","Scientific inference","A11","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C03","D04","Reference & Annotation Governance","Reference governance","3","Liftover ambiguity scorer","Scientific inference","A43","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C04","D04","Reference & Annotation Governance","Reference governance","4","Pangenome coordinate mapper","Identity and harmonization","A48","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C05","D04","Reference & Annotation Governance","Reference governance","5","GENCODE transcript adapter","Data integration","A09","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C06","D04","Reference & Annotation Governance","Reference governance","6","MANE transcript adapter","Data integration","A11","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C07","D04","Reference & Annotation Governance","Reference governance","7","Regulatory ontology adapter","Data integration","A43","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C08","D04","Reference & Annotation Governance","Reference governance","8","Disease ontology mapper","Identity and harmonization","A48","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C09","D04","Reference & Annotation Governance","Reference governance","9","Gene alias and version resolver","Identity and harmonization","A09","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C10","D04","Reference & Annotation Governance","Reference governance","10","Population-frequency adapter","Data integration","A11","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C11","D04","Reference & Annotation Governance","Reference governance","11","Reference snapshot manager","Evidence and lifecycle","A43","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C12","D04","Reference & Annotation Governance","Reference governance","12","License and use-restriction registry","Evidence and lifecycle","A48","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C13","D04","Reference & Annotation Governance","Reference governance","13","Source provenance checker","Scientific inference","A09","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C14","D04","Reference & Annotation Governance","Reference governance","14","Annotation drift detector","Scientific inference","A11","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C15","D04","Reference & Annotation Governance","Reference governance","15","Reproducible reference bundle builder","Publication and release","A43","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D04-C16","D04","Reference & Annotation Governance","Reference governance","16","Reference release gate","Platform control","A48","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C01","D05","Glioma Regulatory Atlas","Disease atlas","1","ENCODE SCREEN cCRE adapter","Data integration","A15","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C02","D05","Glioma Regulatory Atlas","Disease atlas","2","Brain cell-type cCRE atlas","Scientific inference","A16","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C03","D05","Glioma Regulatory Atlas","Disease atlas","3","Adult glioma regulatory atlas","Scientific inference","A17","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C04","D05","Glioma Regulatory Atlas","Disease atlas","4","Pediatric glioma regulatory atlas","Scientific inference","A21","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C05","D05","Glioma Regulatory Atlas","Disease atlas","5","IDH-mutant state atlas","Scientific inference","A15","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C06","D05","Glioma Regulatory Atlas","Disease atlas","6","IDH-wildtype state atlas","Scientific inference","A16","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C07","D05","Glioma Regulatory Atlas","Disease atlas","7","H3K27-altered state atlas","Scientific inference","A17","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C08","D05","Glioma Regulatory Atlas","Disease atlas","8","Histone-mark track harmonizer","Identity and harmonization","A21","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C09","D05","Glioma Regulatory Atlas","Disease atlas","9","Open-chromatin track harmonizer","Identity and harmonization","A15","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C10","D05","Glioma Regulatory Atlas","Disease atlas","10","Methylation track harmonizer","Identity and harmonization","A16","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C11","D05","Glioma Regulatory Atlas","Disease atlas","11","Enhancer-promoter-silencer classifier","Scientific inference","A17","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C12","D05","Glioma Regulatory Atlas","Disease atlas","12","Super-enhancer candidate atlas","Scientific inference","A21","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C13","D05","Glioma Regulatory Atlas","Disease atlas","13","Insulator and boundary atlas","Scientific inference","A15","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C14","D05","Glioma Regulatory Atlas","Disease atlas","14","Regulatory hotspot atlas","Scientific inference","A16","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C15","D05","Glioma Regulatory Atlas","Disease atlas","15","Atlas evidence-tier adjudicator","Scientific inference","A17","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D05-C16","D05","Glioma Regulatory Atlas","Disease atlas","16","Atlas snapshot and version publisher","Publication and release","A21","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C01","D06","Sequence Grammar & Variant Effect","Sequence inference","1","Sequence context encoder","Scientific inference","A23","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C02","D06","Sequence Grammar & Variant Effect","Sequence inference","2","Sequence foundation-model adapter","Data integration","A24","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C03","D06","Sequence Grammar & Variant Effect","Sequence inference","3","Long-context variant-effect adapter","Data integration","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C04","D06","Sequence Grammar & Variant Effect","Sequence inference","4","Regulatory-track delta ensemble","Scientific inference","A38","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C05","D06","Sequence Grammar & Variant Effect","Sequence inference","5","Motif disruption scanner","Scientific inference","A23","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C06","D06","Sequence Grammar & Variant Effect","Sequence inference","6","Motif creation scanner","Scientific inference","A24","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C07","D06","Sequence Grammar & Variant Effect","Sequence inference","7","Motif spacing and grammar analyzer","Scientific inference","A36","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C08","D06","Sequence Grammar & Variant Effect","Sequence inference","8","Cooperative TF grammar model","Scientific inference","A38","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C09","D06","Sequence Grammar & Variant Effect","Sequence inference","9","Nucleosome sequence-propensity model","Scientific inference","A23","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C10","D06","Sequence Grammar & Variant Effect","Sequence inference","10","Splice-regulatory noncoding scanner","Scientific inference","A24","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C11","D06","Sequence Grammar & Variant Effect","Sequence inference","11","UTR regulatory scanner","Scientific inference","A36","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C12","D06","Sequence Grammar & Variant Effect","Sequence inference","12","Promoter core-grammar model","Scientific inference","A38","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C13","D06","Sequence Grammar & Variant Effect","Sequence inference","13","Enhancer grammar model","Scientific inference","A23","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C14","D06","Sequence Grammar & Variant Effect","Sequence inference","14","Allele saturation simulator","Scientific inference","A24","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C15","D06","Sequence Grammar & Variant Effect","Sequence inference","15","Ensemble disagreement quantifier","Scientific inference","A36","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D06-C16","D06","Sequence Grammar & Variant Effect","Sequence inference","16","Sequence evidence publisher","Publication and release","A38","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C01","D07","Chromatin, Accessibility & Methylation","Epigenomic context","1","ATAC and DNase context retriever","Data integration","A18","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C02","D07","Chromatin, Accessibility & Methylation","Epigenomic context","2","Accessibility-delta estimator","Scientific inference","A19","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C03","D07","Chromatin, Accessibility & Methylation","Epigenomic context","3","Histone-state context retriever","Data integration","A25","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C04","D07","Chromatin, Accessibility & Methylation","Epigenomic context","4","H3K27ac enhancer-activity estimator","Scientific inference","A29","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C05","D07","Chromatin, Accessibility & Methylation","Epigenomic context","5","Methylation context retriever","Data integration","A18","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C06","D07","Chromatin, Accessibility & Methylation","Epigenomic context","6","CpG creation-loss analyzer","Scientific inference","A19","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C07","D07","Chromatin, Accessibility & Methylation","Epigenomic context","7","Methylation-sensitive motif analyzer","Scientific inference","A25","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C08","D07","Chromatin, Accessibility & Methylation","Epigenomic context","8","IDH hypermethylation context model","Scientific inference","A29","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C09","D07","Chromatin, Accessibility & Methylation","Epigenomic context","9","Chromatin-state segmentation adapter","Data integration","A18","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C10","D07","Chromatin, Accessibility & Methylation","Epigenomic context","10","Allele-specific chromatin analyzer","Scientific inference","A19","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C11","D07","Chromatin, Accessibility & Methylation","Epigenomic context","11","Epigenomic purity deconvolution","Scientific inference","A25","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C12","D07","Chromatin, Accessibility & Methylation","Epigenomic context","12","Batch and cell-composition correction","Scientific inference","A29","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C13","D07","Chromatin, Accessibility & Methylation","Epigenomic context","13","Context imputation with confidence","Scientific inference","A18","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C14","D07","Chromatin, Accessibility & Methylation","Epigenomic context","14","Assay support and coverage gate","Platform control","A19","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C15","D07","Chromatin, Accessibility & Methylation","Epigenomic context","15","Cross-assay concordance adjudicator","Scientific inference","A25","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D07-C16","D07","Chromatin, Accessibility & Methylation","Epigenomic context","16","Chromatin evidence publisher","Publication and release","A29","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C01","D08","Cell State, Disease Class & Territory","Biological context","1","Disease-ontology contextualizer","Scientific inference","A17","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C02","D08","Cell State, Disease Class & Territory","Biological context","2","Adult-pediatric routing","Scientific inference","A30","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C03","D08","Cell State, Disease Class & Territory","Biological context","3","Molecular class and state contextualizer","Scientific inference","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C04","D08","Cell State, Disease Class & Territory","Biological context","4","Malignant-microenvironment territory resolver","Identity and harmonization","A16","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C05","D08","Cell State, Disease Class & Territory","Biological context","5","Developmental-lineage prior","Scientific inference","A17","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C06","D08","Cell State, Disease Class & Territory","Biological context","6","Glioblastoma malignant-state prior","Scientific inference","A30","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C07","D08","Cell State, Disease Class & Territory","Biological context","7","IDH-mutant lineage-state prior","Scientific inference","A36","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C08","D08","Cell State, Disease Class & Territory","Biological context","8","H3K27-altered developmental-state prior","Scientific inference","A16","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C09","D08","Cell State, Disease Class & Territory","Biological context","9","Spatial niche prior","Scientific inference","A17","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C10","D08","Cell State, Disease Class & Territory","Biological context","10","Core-margin territory prior","Scientific inference","A30","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C11","D08","Cell State, Disease Class & Territory","Biological context","11","Recurrence-state prior","Scientific inference","A36","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C12","D08","Cell State, Disease Class & Territory","Biological context","12","Treatment-induced state prior","Scientific inference","A16","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C13","D08","Cell State, Disease Class & Territory","Biological context","13","Cell-state abundance uncertainty model","Scientific inference","A17","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C14","D08","Cell State, Disease Class & Territory","Biological context","14","Single-cell reference mapper","Identity and harmonization","A30","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C15","D08","Cell State, Disease Class & Territory","Biological context","15","Cell-state OOD detector","Scientific inference","A36","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D08-C16","D08","Cell State, Disease Class & Territory","Biological context","16","Cell-state context publisher","Publication and release","A16","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C01","D09","3D Genome & Regulatory Topology","Topology inference","1","Hi-C and Micro-C importer","Data integration","A20","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C02","D09","3D Genome & Regulatory Topology","Topology inference","2","Contact-matrix QC and normalization","Identity and harmonization","A26","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C03","D09","3D Genome & Regulatory Topology","Topology inference","3","TAD-boundary ensemble","Scientific inference","A29","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C04","D09","3D Genome & Regulatory Topology","Topology inference","4","Insulation-score delta estimator","Scientific inference","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C05","D09","3D Genome & Regulatory Topology","Topology inference","5","Loop and stripe adapter","Data integration","A20","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C06","D09","3D Genome & Regulatory Topology","Topology inference","6","Promoter-capture contact adapter","Data integration","A26","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C07","D09","3D Genome & Regulatory Topology","Topology inference","7","Enhancer-promoter contact scorer","Scientific inference","A29","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C08","D09","3D Genome & Regulatory Topology","Topology inference","8","Activity-by-contact scorer","Scientific inference","A36","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C09","D09","3D Genome & Regulatory Topology","Topology inference","9","Boundary motif-orientation analyzer","Scientific inference","A20","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C10","D09","3D Genome & Regulatory Topology","Topology inference","10","CTCF-cohesin disruption model","Scientific inference","A26","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C11","D09","3D Genome & Regulatory Topology","Topology inference","11","IDH insulator-dysfunction model","Scientific inference","A29","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C12","D09","3D Genome & Regulatory Topology","Topology inference","12","SV topology-rewiring simulator","Scientific inference","A36","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C13","D09","3D Genome & Regulatory Topology","Topology inference","13","ecDNA regulatory-contact model","Scientific inference","A20","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C14","D09","3D Genome & Regulatory Topology","Topology inference","14","Compartment-switch estimator","Scientific inference","A26","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C15","D09","3D Genome & Regulatory Topology","Topology inference","15","Topology uncertainty and transport model","Scientific inference","A29","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D09-C16","D09","3D Genome & Regulatory Topology","Topology inference","16","3D evidence publisher","Publication and release","A36","W4 — frontier expansion","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D10-C01","D10","Variant-Element-Gene Linking","Regulatory linking","1","Coordinate-overlap linker","Scientific inference","A27","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D10-C02","D10","Variant-Element-Gene Linking","Regulatory linking","2","Nearest-gene baseline","Scientific inference","A28","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D10-C03","D10","Variant-Element-Gene Linking","Regulatory linking","3","cCRE element assigner","Identity and harmonization","A29","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D10-C04","D10","Variant-Element-Gene Linking","Regulatory linking","4","Enhancer-gene consensus linker","Scientific inference","A36","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
